device_id,home_ses,ses_quintile,mobility_type
dev_0001,low,2,constrained
dev_0002,low,1,partial
dev_0003,high,4,diverse
dev_0004,low,2,partial
dev_0005,high,4,diverse
dev_0006,low,1,diverse
dev_0007,high,5,diverse
dev_0008,low,1,diverse
dev_0009,low,2,constrained
dev_0010,low,2,partial
dev_0011,high,4,diverse
dev_0012,low,1,constrained
dev_0013,high,5,diverse
dev_0014,low,2,constrained
dev_0015,low,1,constrained
dev_0016,low,2,diverse
dev_0017,high,4,diverse
dev_0018,low,2,constrained
dev_0019,low,1,constrained
dev_0020,low,1,partial
dev_0021,low,2,constrained
dev_0022,low,2,diverse
dev_0023,low,1,diverse
dev_0024,high,4,diverse
dev_0025,low,2,partial
dev_0026,high,5,diverse
dev_0027,low,1,partial
dev_0028,low,2,diverse
dev_0029,high,5,diverse
dev_0030,low,1,diverse
dev_0031,low,2,partial
dev_0032,high,5,diverse
dev_0033,low,1,diverse
dev_0034,low,1,diverse
dev_0035,low,2,partial
dev_0036,low,2,constrained
dev_0037,low,2,constrained
dev_0038,low,2,constrained
dev_0039,low,1,constrained
dev_0040,low,2,diverse
dev_0041,high,4,diverse
dev_0042,high,5,diverse
dev_0043,high,4,diverse
dev_0044,low,2,diverse
dev_0045,high,5,diverse
dev_0046,high,5,diverse
dev_0047,low,1,diverse
dev_0048,high,5,diverse
dev_0049,low,1,partial
dev_0050,low,1,diverse
dev_0051,high,5,diverse
dev_0052,low,2,constrained
dev_0053,high,5,diverse
dev_0054,high,5,diverse
dev_0055,low,2,constrained
dev_0056,low,1,constrained
dev_0057,low,2,constrained
dev_0058,low,1,constrained
dev_0059,low,1,partial
dev_0060,low,1,constrained
dev_0061,high,4,diverse
dev_0062,high,4,diverse
dev_0063,low,2,partial
dev_0064,low,2,constrained
dev_0065,low,1,partial
dev_0066,high,4,diverse
dev_0067,high,5,diverse
dev_0068,low,1,diverse
dev_0069,low,1,partial
dev_0070,low,2,constrained
dev_0071,high,5,diverse
dev_0072,low,2,diverse
dev_0073,high,4,diverse
dev_0074,low,2,constrained
dev_0075,low,1,diverse
dev_0076,low,1,diverse
dev_0077,high,5,diverse
dev_0078,low,2,partial
dev_0079,high,4,diverse
dev_0080,high,5,diverse
dev_0081,high,4,diverse
dev_0082,low,1,partial
dev_0083,low,1,constrained
dev_0084,low,2,constrained
dev_0085,low,2,constrained
dev_0086,low,2,constrained
dev_0087,high,4,diverse
dev_0088,low,1,constrained
dev_0089,low,2,constrained
dev_0090,high,5,diverse
dev_0091,high,4,diverse
dev_0092,low,1,constrained
dev_0093,high,5,diverse
dev_0094,low,2,constrained
dev_0095,low,1,constrained
dev_0096,high,4,diverse
dev_0097,low,1,constrained
dev_0098,low,2,partial
dev_0099,high,5,diverse
dev_0100,low,2,constrained
dev_0101,low,1,partial
dev_0102,high,5,diverse
dev_0103,high,4,diverse
dev_0104,high,4,diverse
dev_0105,low,1,partial
dev_0106,low,2,diverse
dev_0107,high,4,diverse
dev_0108,high,5,diverse
dev_0109,low,1,partial
dev_0110,high,5,diverse
dev_0111,low,2,diverse
dev_0112,high,5,diverse
dev_0113,low,2,constrained
